entity_id,entity_type,year,address
E000000,broker,2013,652 Harbor Ave
E000001,insurer,1993,991 Foundry Rd
E000002,broker,1998,614 Foundry Ave
E000003,insurer,2022,158 Cedar St
E000004,insurer,2021,573 Harbor Rd
E000005,broker,2005,455 Canal Blvd
E000006,firm,2004,448 Foundry Blvd
E000007,lab,2016,666 Foundry St
E000008,insurer,2002,389 Foundry St
E000009,insurer,2007,317 Foundry St
E000010,firm,2021,711 Foundry Ave
E000011,insurer,1994,325 Foundry Blvd
E000012,lab,2024,550 Foundry Rd
E000013,broker,2001,691 Cedar Ave
E000014,lab,1995,777 Foundry Blvd
E000015,broker,2020,887 Harbor Ave
E000016,forwarder,2020,539 Harbor St
E000017,lab,2016,643 Foundry Rd
E000018,firm,2011,968 Cedar St
E000019,lab,2003,985 Quartz St
E000020,lab,2018,196 Foundry St
E000021,firm,2020,770 Cedar Ave
E000022,forwarder,2019,373 Quartz St
E000023,firm,2000,144 Foundry Rd
E000024,lab,1990,342 Harbor Ave
E000025,insurer,1998,667 Harbor St
E000026,lab,2017,415 Canal St
E000027,insurer,1998,456 Quartz Ave
E000028,lab,2007,808 Quartz Blvd
E000029,firm,1990,516 Harbor St
E000030,insurer,2013,518 Quartz St
E000031,forwarder,1993,982 Harbor Rd
E000032,forwarder,2012,718 Canal St
E000033,insurer,2013,67 Foundry St
E000034,insurer,2024,580 Cedar Blvd
E000035,forwarder,2015,245 Cedar Ave
E000036,lab,2016,317 Quartz Rd
E000037,broker,2004,658 Harbor Ave
E000038,firm,2001,494 Canal St
E000039,insurer,1990,592 Canal Rd
E000040,lab,1992,315 Foundry Rd
E000041,insurer,1995,615 Cedar Blvd
E000042,lab,2004,107 Canal Ave
E000043,broker,2007,931 Cedar Rd
E000044,insurer,2023,14 Canal Blvd
E000045,firm,1996,484 Foundry St
E000046,firm,2018,78 Canal Ave
E000047,broker,1991,871 Canal St
E000048,insurer,2014,679 Canal Rd
E000049,forwarder,2017,86 Harbor Ave
E000050,forwarder,2018,995 Foundry Ave
E000051,lab,2011,91 Quartz St
E000052,firm,2014,84 Canal Rd
E000053,broker,2015,709 Canal St
E000054,firm,2000,718 Quartz Ave
E000055,lab,2005,569 Quartz St
E000056,firm,2011,16 Canal St
E000057,broker,1997,803 Quartz Blvd
E000058,broker,2013,645 Foundry Rd
E000059,insurer,2022,397 Cedar Ave
E000060,forwarder,2015,576 Foundry Blvd
E000061,insurer,1998,934 Canal Rd
E000062,firm,1994,603 Harbor St
E000063,lab,2006,512 Harbor Ave
E000064,insurer,2019,131 Cedar Ave
E000065,insurer,1994,555 Cedar Blvd
E000066,lab,2024,352 Harbor Rd
E000067,firm,1998,681 Canal St
E000068,forwarder,2022,731 Canal St
E000069,forwarder,1991,923 Foundry Ave
E000070,insurer,2000,652 Quartz Ave
E000071,broker,2008,118 Cedar Rd
E000072,insurer,2000,774 Cedar St
E000073,firm,1998,292 Cedar Blvd
E000074,firm,2023,14 Quartz Rd
E000075,insurer,2018,139 Foundry Rd
E000076,firm,1999,999 Quartz Ave
E000077,insurer,2007,123 Canal Rd
E000078,lab,1991,42 Foundry St
E000079,forwarder,2012,248 Quartz Ave
E000080,insurer,2001,232 Cedar Ave
E000081,forwarder,2004,46 Quartz Ave
E000082,insurer,1992,491 Harbor St
E000083,broker,2011,283 Foundry Ave
E000084,insurer,2004,219 Cedar St
E000085,firm,1992,115 Canal Blvd
E000086,firm,2007,705 Cedar St
E000087,forwarder,2002,242 Cedar St
E000088,insurer,2015,211 Canal St
E000089,broker,2021,419 Cedar Blvd
E000090,insurer,1996,206 Harbor Blvd
E000091,lab,2002,68 Canal St
E000092,forwarder,2008,509 Foundry Ave
E000093,lab,2012,520 Harbor Ave
E000094,forwarder,2025,204 Harbor Rd
E000095,broker,2006,205 Quartz Rd
E000096,firm,1999,402 Harbor Ave
E000097,insurer,2000,104 Cedar St
E000098,lab,2003,377 Foundry Rd
E000099,insurer,2004,366 Canal Ave
E000100,insurer,2006,396 Quartz Ave
E000101,forwarder,2010,44 Foundry Blvd
E000102,lab,2025,772 Cedar St
E000103,broker,2012,820 Canal Blvd
E000104,forwarder,2016,497 Canal Rd
E000105,lab,2007,779 Canal Ave
E000106,insurer,1991,681 Harbor Ave
E000107,insurer,2010,493 Quartz Ave
E000108,forwarder,2000,10 Harbor Rd
E000109,forwarder,2017,891 Canal Rd
E000110,broker,2012,397 Foundry Blvd
E000111,firm,2006,381 Quartz St
E000112,insurer,2016,592 Quartz Ave
E000113,lab,2009,883 Foundry Blvd
E000114,lab,2007,654 Canal Blvd
E000115,broker,2001,859 Foundry St
E000116,broker,1995,629 Quartz St
E000117,broker,2003,140 Cedar Blvd
E000118,lab,2004,69 Quartz Ave
E000119,forwarder,2021,417 Quartz Ave
E000120,forwarder,2006,897 Foundry Blvd
E000121,forwarder,1990,718 Foundry Rd
E000122,forwarder,2018,175 Cedar Rd
E000123,insurer,2013,890 Harbor Rd
E000124,forwarder,2020,877 Foundry Blvd
E000125,forwarder,1991,975 Canal Rd
E000126,firm,2016,702 Canal St
E000127,forwarder,1990,65 Cedar Ave
E000128,firm,2025,785 Foundry Ave
E000129,insurer,2017,160 Quartz St
E000130,forwarder,2006,951 Foundry Ave
E000131,insurer,2001,910 Cedar Rd
E000132,insurer,2025,40 Foundry Ave
E000133,firm,1998,552 Canal St
E000134,insurer,2000,877 Foundry Rd
E000135,lab,1993,325 Canal Blvd
E000136,firm,2025,817 Cedar St
E000137,forwarder,2004,219 Harbor Blvd
E000138,insurer,1993,116 Foundry Rd
E000139,insurer,2004,306 Cedar Rd
E000140,insurer,2020,461 Harbor St
E000141,broker,2007,24 Canal Blvd
E000142,forwarder,2019,856 Canal Blvd
E000143,broker,1995,521 Foundry St
E000144,insurer,2000,26 Harbor Blvd
E000145,firm,2019,311 Canal St
E000146,broker,1999,790 Foundry Ave
E000147,lab,2004,241 Harbor Blvd
E000148,broker,2013,592 Canal Ave
E000149,lab,2002,510 Harbor Rd
E000150,firm,1997,72 Foundry Rd
E000151,insurer,2023,912 Canal St
E000152,lab,2023,223 Foundry Blvd
E000153,broker,2006,11 Foundry St
E000154,insurer,2006,152 Quartz St
E000155,broker,2000,314 Harbor Blvd
E000156,broker,2024,48 Cedar Ave
E000157,broker,2003,430 Harbor Rd
E000158,broker,2025,555 Harbor Ave
E000159,lab,2024,614 Foundry Blvd
E000160,broker,2013,853 Cedar Blvd
E000161,lab,2012,52 Quartz Ave
E000162,firm,1993,917 Cedar St
E000163,firm,2025,154 Canal Blvd
E000164,insurer,2017,336 Canal St
E000165,firm,2003,367 Foundry Blvd
E000166,insurer,1991,834 Quartz Blvd
E000167,forwarder,2003,734 Canal St
E000168,lab,2018,956 Cedar Ave
E000169,forwarder,2016,200 Cedar St
E000170,insurer,2007,581 Canal St
E000171,lab,1990,381 Quartz Rd
E000172,lab,2018,561 Cedar St
E000173,forwarder,1997,823 Foundry Rd
E000174,lab,2009,209 Canal Rd
E000175,lab,2003,903 Quartz St
E000176,forwarder,1993,764 Harbor Blvd
E000177,firm,2017,605 Cedar Blvd
E000178,forwarder,2002,47 Cedar St
E000179,forwarder,2013,368 Quartz Ave
E000180,broker,2023,25 Foundry Rd
E000181,firm,2015,481 Cedar Blvd
E000182,insurer,2023,410 Harbor Blvd
E000183,firm,2006,41 Foundry Rd
E000184,insurer,2014,813 Canal Blvd
E000185,firm,2016,403 Quartz Ave
E000186,insurer,2007,204 Foundry St
E000187,firm,1999,241 Foundry Blvd
E000188,insurer,1999,795 Canal Rd
E000189,firm,2000,933 Quartz Ave
E000190,broker,2006,280 Quartz St
E000191,broker,2007,321 Foundry St
E000192,broker,1993,167 Foundry Blvd
E000193,insurer,2018,314 Foundry Blvd
E000194,forwarder,2019,16 Canal St
E000195,firm,2017,41 Cedar Rd
E000196,broker,2021,555 Foundry Ave
E000197,lab,2016,223 Canal St
E000198,insurer,2018,291 Foundry Ave
E000199,firm,2018,618 Cedar Rd
E000200,insurer,2021,720 Harbor Rd
E000201,insurer,2001,184 Cedar Blvd
E000202,broker,2018,510 Harbor St
E000203,forwarder,2008,137 Quartz Blvd
E000204,forwarder,2021,852 Quartz St
E000205,lab,2025,253 Harbor Ave
E000206,broker,2005,813 Cedar Rd
E000207,broker,1994,405 Quartz Blvd
E000208,lab,2017,652 Cedar Ave
E000209,insurer,2022,798 Quartz St
E000210,forwarder,1994,347 Cedar Rd
E000211,firm,1999,797 Quartz Rd
E000212,insurer,2003,189 Cedar St
E000213,broker,1997,47 Cedar Ave
E000214,firm,2025,116 Harbor Ave
E000215,insurer,2009,847 Cedar St
E000216,forwarder,2015,858 Quartz Rd
E000217,firm,1997,11 Harbor Blvd
E000218,insurer,1992,66 Quartz St
E000219,insurer,2021,776 Canal Ave
E000220,lab,1997,695 Harbor St
E000221,lab,2024,609 Harbor St
E000222,firm,1998,925 Harbor Blvd
E000223,lab,2015,158 Quartz Blvd
E000224,firm,2022,445 Foundry Rd
E000225,forwarder,2019,827 Canal St
E000226,firm,2009,667 Quartz St
E000227,lab,1993,105 Quartz Ave
E000228,broker,2008,758 Canal St
E000229,firm,2007,654 Foundry Blvd
E000230,firm,2021,550 Harbor Blvd
E000231,insurer,2007,957 Canal Blvd
E000232,broker,2017,958 Quartz Rd
E000233,insurer,1990,988 Canal St
E000234,lab,1991,701 Canal Blvd
E000235,lab,1992,406 Cedar Blvd
E000236,insurer,2024,385 Foundry Rd
E000237,firm,2025,485 Cedar Rd
E000238,insurer,2024,230 Harbor Rd
E000239,broker,2025,722 Canal St
E000240,firm,2012,833 Foundry St
E000241,lab,2002,23 Canal Blvd
E000242,broker,2019,796 Cedar Rd
E000243,forwarder,1998,987 Foundry Rd
E000244,insurer,2025,144 Canal St
E000245,lab,2009,808 Harbor Rd
E000246,lab,2008,697 Cedar Blvd
E000247,broker,2021,251 Quartz St
E000248,insurer,2025,145 Foundry Ave
E000249,insurer,2000,59 Harbor Ave
E000250,lab,2022,120 Canal St
E000251,broker,2010,327 Quartz Rd
E000252,firm,2017,841 Canal Blvd
E000253,broker,2018,525 Harbor Ave
E000254,forwarder,1994,492 Canal Rd
E000255,lab,2016,855 Harbor Ave
E000256,insurer,2014,15 Cedar Blvd
E000257,firm,2024,735 Cedar Ave
E000258,insurer,2014,310 Foundry Rd
E000259,forwarder,2020,534 Foundry Ave
E000260,lab,2006,284 Canal St
E000261,lab,1997,717 Quartz Blvd
E000262,broker,2016,969 Cedar Blvd
E000263,insurer,1999,741 Canal Ave
E000264,forwarder,2023,637 Cedar Blvd
E000265,insurer,2025,399 Canal Rd
E000266,forwarder,1995,625 Quartz Blvd
E000267,lab,2009,919 Harbor Blvd
E000268,firm,2015,242 Quartz Ave
E000269,firm,2017,603 Harbor Blvd
E000270,lab,2019,352 Quartz St
E000271,forwarder,2024,997 Foundry Rd
E000272,insurer,1994,247 Harbor Rd
E000273,forwarder,2015,610 Foundry Ave
E000274,insurer,2012,135 Cedar St
E000275,broker,1994,438 Cedar Rd
E000276,firm,2008,154 Harbor St
E000277,broker,2013,18 Quartz Rd
E000278,firm,1991,502 Quartz St
E000279,broker,2021,568 Harbor Rd
E000280,broker,2016,74 Cedar St
E000281,forwarder,2003,250 Cedar Rd
E000282,firm,2020,870 Quartz St
E000283,insurer,2015,746 Quartz St
E000284,forwarder,1995,173 Quartz Rd
E000285,firm,1997,896 Foundry Rd
E000286,broker,2010,546 Cedar Ave
E000287,lab,1996,710 Canal Ave
E000288,firm,2010,796 Canal Rd
E000289,firm,1999,753 Harbor St
E000290,insurer,2004,905 Canal St
E000291,firm,2017,107 Canal Ave
E000292,insurer,2003,650 Foundry Rd
E000293,firm,1990,165 Canal Blvd
E000294,lab,2020,784 Foundry Rd
E000295,broker,1992,773 Cedar Blvd
E000296,insurer,2002,74 Foundry Blvd
E000297,firm,1994,301 Cedar Ave
E000298,lab,1998,925 Cedar Ave
E000299,insurer,2010,498 Canal Rd
E000300,forwarder,2008,906 Foundry Ave
E000301,insurer,2001,269 Harbor Ave
E000302,firm,2020,538 Harbor Blvd
E000303,broker,2004,328 Quartz Ave
E000304,firm,1994,398 Foundry Ave
E000305,insurer,2000,817 Quartz Blvd
E000306,firm,2011,909 Quartz St
E000307,firm,1992,656 Foundry St
E000308,firm,2020,735 Canal Blvd
E000309,insurer,2005,30 Foundry Blvd
E000310,broker,2024,582 Canal St
E000311,forwarder,2009,384 Foundry Rd
E000312,forwarder,1991,188 Cedar Ave
E000313,forwarder,2004,893 Canal Rd
E000314,lab,2017,711 Canal St
E000315,broker,2013,305 Harbor Ave
E000316,lab,2014,180 Cedar Rd
E000317,forwarder,2020,804 Harbor Rd
E000318,forwarder,1999,896 Foundry Rd
E000319,insurer,2001,367 Cedar Rd
E000320,lab,2009,774 Harbor Rd
E000321,broker,2000,937 Harbor Rd
E000322,forwarder,2016,879 Cedar Blvd
E000323,lab,2016,318 Foundry Ave
E000324,insurer,2015,978 Harbor St
E000325,forwarder,2002,80 Foundry Rd
E000326,broker,2020,515 Harbor St
E000327,broker,2020,259 Canal Ave
E000328,firm,1991,257 Cedar Ave
E000329,lab,1995,714 Foundry Ave
E000330,forwarder,1996,91 Canal Rd
E000331,firm,1992,878 Cedar St
E000332,forwarder,2013,693 Cedar Rd
E000333,insurer,2001,781 Canal Blvd
E000334,lab,2016,933 Cedar Blvd
E000335,lab,1990,780 Harbor Rd
E000336,insurer,1990,969 Canal Rd
E000337,firm,2018,905 Foundry Blvd
E000338,insurer,2002,342 Canal Rd
E000339,lab,2012,234 Quartz Blvd
E000340,lab,2008,935 Harbor St
E000341,lab,2020,675 Canal Blvd
E000342,lab,2022,809 Canal Blvd
E000343,insurer,2016,862 Foundry Rd
E000344,lab,2012,648 Harbor Blvd
E000345,firm,1994,694 Cedar Rd
E000346,lab,1996,713 Quartz Rd
E000347,forwarder,2015,79 Harbor Rd
E000348,firm,2024,639 Cedar Rd
E000349,forwarder,2024,748 Canal Ave
E000350,forwarder,2009,785 Harbor Blvd
E000351,broker,2017,283 Quartz Blvd
E000352,insurer,2020,308 Canal Ave
E000353,insurer,2004,251 Harbor Blvd
E000354,forwarder,1996,713 Quartz Ave
E000355,firm,2007,197 Cedar Blvd
E000356,lab,2020,90 Foundry Blvd
E000357,lab,2010,985 Cedar Ave
E000358,insurer,1994,187 Harbor Blvd
E000359,lab,2023,868 Canal Blvd
E000360,lab,1996,774 Canal Blvd
E000361,lab,1997,921 Quartz St
E000362,lab,2014,856 Foundry Rd
E000363,insurer,2012,276 Cedar Ave
E000364,broker,2016,867 Foundry Ave
E000365,forwarder,2003,808 Harbor Blvd
E000366,broker,2017,835 Cedar St
E000367,firm,2007,436 Canal Blvd
E000368,broker,2020,204 Quartz Rd
E000369,broker,2013,482 Foundry St
E000370,forwarder,2019,51 Quartz Rd
E000371,forwarder,2020,166 Foundry St
E000372,lab,1991,737 Canal St
E000373,insurer,1991,644 Harbor Ave
E000374,firm,2008,844 Harbor St
E000375,forwarder,2023,261 Foundry St
E000376,lab,2019,216 Harbor St
E000377,broker,2010,364 Cedar Rd
E000378,lab,2022,553 Foundry St
E000379,forwarder,1992,702 Foundry Ave
E000380,forwarder,1992,550 Canal Rd
E000381,broker,2000,950 Harbor Ave
E000382,firm,1995,315 Quartz Ave
E000383,lab,2025,738 Quartz Blvd
E000384,insurer,2005,863 Quartz Ave
E000385,firm,2005,214 Cedar St
E000386,firm,2024,48 Foundry Blvd
E000387,firm,2007,446 Foundry Ave
E000388,insurer,2001,199 Foundry Blvd
E000389,firm,2025,694 Harbor Blvd
E000390,firm,2016,49 Cedar Blvd
E000391,broker,2004,179 Quartz Ave
E000392,forwarder,2025,23 Foundry Rd
E000393,firm,2004,476 Foundry St
E000394,insurer,2004,298 Harbor St
E000395,lab,2021,789 Quartz St
E000396,insurer,2014,44 Cedar Blvd
E000397,forwarder,2008,419 Cedar Blvd
E000398,broker,2024,342 Foundry Blvd
E000399,broker,1996,377 Quartz Ave
E000400,lab,2021,889 Canal Rd
E000401,firm,2025,894 Harbor St
E000402,insurer,2017,369 Foundry Ave
E000403,firm,1999,650 Cedar St
E000404,lab,1995,475 Cedar Rd
E000405,insurer,2022,199 Quartz Rd
E000406,broker,1991,125 Quartz St
E000407,firm,2014,532 Foundry Ave
E000408,broker,1999,404 Canal Rd
E000409,lab,1998,31 Canal Ave
E000410,lab,2011,64 Cedar St
E000411,firm,2002,658 Cedar Blvd
E000412,lab,1990,215 Canal St
E000413,lab,2015,105 Foundry Rd
E000414,lab,2007,422 Canal Rd
E000415,broker,2009,167 Foundry Rd
E000416,broker,2005,612 Quartz Rd
E000417,forwarder,2023,896 Canal Ave
E000418,lab,1995,699 Quartz Blvd
E000419,firm,2006,423 Quartz Rd
E000420,forwarder,2014,610 Quartz Blvd
E000421,insurer,2015,225 Cedar St
E000422,forwarder,2001,73 Canal Blvd
E000423,lab,2010,922 Canal St
E000424,forwarder,2009,820 Harbor Ave
E000425,firm,2022,236 Harbor Rd
E000426,firm,2024,66 Foundry Rd
E000427,insurer,2007,177 Canal Blvd
E000428,lab,2000,267 Cedar Ave
E000429,firm,1993,753 Foundry St
E000430,lab,2008,394 Quartz Blvd
E000431,broker,1999,77 Harbor Rd
E000432,firm,2009,288 Harbor Rd
E000433,insurer,2001,840 Quartz St
E000434,lab,1998,807 Foundry St
E000435,forwarder,2015,947 Harbor Rd
E000436,firm,2004,426 Quartz Rd
E000437,insurer,2000,34 Cedar Rd
E000438,firm,1999,452 Cedar Ave
E000439,firm,1992,602 Harbor Blvd
E000440,forwarder,2023,896 Quartz Blvd
E000441,insurer,2022,955 Cedar St
E000442,insurer,1998,378 Harbor Rd
E000443,insurer,2014,502 Foundry St
E000444,insurer,2006,463 Canal Rd
E000445,insurer,1994,796 Cedar Ave
E000446,forwarder,2021,573 Harbor Rd
E000447,broker,2023,377 Foundry Blvd
E000448,forwarder,2014,25 Canal Ave
E000449,lab,1995,48 Canal Blvd
E000450,firm,2001,923 Canal St
E000451,firm,2005,717 Canal Blvd
E000452,insurer,2019,811 Quartz Ave
E000453,broker,2018,553 Cedar Ave
E000454,broker,2022,142 Canal Ave
E000455,forwarder,2015,473 Quartz Blvd
E000456,firm,2009,47 Foundry St
E000457,lab,2011,143 Cedar St
E000458,insurer,1991,994 Quartz Rd
E000459,lab,2011,998 Harbor Blvd
E000460,firm,2009,230 Cedar Blvd
E000461,lab,2014,880 Cedar Rd
E000462,broker,2016,540 Foundry Rd
E000463,forwarder,1991,381 Foundry Ave
E000464,lab,2009,574 Quartz Rd
E000465,forwarder,2018,485 Canal St
E000466,firm,2000,741 Harbor St
E000467,insurer,2015,150 Cedar St
E000468,lab,2017,432 Canal Rd
E000469,lab,2005,612 Canal Rd
E000470,lab,2014,21 Quartz St
E000471,forwarder,1992,295 Foundry Rd
E000472,broker,1998,935 Quartz Blvd
E000473,broker,1990,982 Cedar Blvd
E000474,insurer,2002,209 Foundry Blvd
E000475,firm,2019,575 Quartz St
E000476,lab,2011,652 Canal Blvd
E000477,lab,2015,656 Quartz St
E000478,firm,2021,791 Canal Rd
E000479,forwarder,2025,757 Foundry St
E000480,firm,2012,106 Harbor St
E000481,insurer,2018,344 Canal Ave
E000482,firm,2010,347 Canal Blvd
E000483,insurer,2003,885 Cedar Rd
E000484,lab,2012,707 Harbor Ave
E000485,firm,1990,278 Foundry Ave
E000486,forwarder,2010,538 Canal St
E000487,forwarder,2016,295 Foundry Blvd
E000488,firm,1993,26 Quartz Ave
E000489,forwarder,2004,118 Canal Blvd
E000490,insurer,2010,314 Foundry St
E000491,broker,2017,21 Quartz St
E000492,firm,1998,400 Foundry Ave
E000493,lab,1992,859 Canal St
E000494,broker,2001,693 Foundry Ave
E000495,lab,2018,646 Harbor Blvd
E000496,forwarder,2001,949 Canal Blvd
E000497,broker,2025,413 Foundry Ave
E000498,firm,2016,203 Quartz Rd
E000499,forwarder,2017,192 Canal Ave
E000500,forwarder,2002,896 Canal Ave
E000501,firm,2022,331 Cedar St
E000502,firm,2010,142 Harbor Rd
