payment_id,shipment_id,method,amount,ccy,bank,broker
P0000000,S0001877,letter_of_credit,16092,EUR,bank_A,broker_Y
P0000001,S0002834,cashlike,58303,USD,bank_B,broker_Y
P0000002,S0001876,wire,143259,JPY,bank_A,broker_Z
P0000003,S0003038,letter_of_credit,191954,JPY,bank_A,broker_X
P0000004,S0004000,cashlike,196924,USD,bank_C,broker_Z
P0000005,S0002135,letter_of_credit,55966,EUR,bank_C,broker_Z
P0000006,S0004108,cashlike,133766,USD,bank_A,broker_X
P0000007,S0004151,wire,23270,USD,bank_B,broker_X
P0000008,S0002221,cashlike,197448,JPY,bank_B,broker_X
P0000009,S0004555,cashlike,106025,USD,bank_A,broker_X
P0000010,S0001790,letter_of_credit,6845,USD,bank_B,broker_X
P0000011,S0000187,wire,162121,USD,bank_A,broker_Y
P0000012,S0002487,letter_of_credit,30664,EUR,bank_C,broker_X
P0000013,S0002861,wire,36623,USD,bank_C,broker_Y
P0000014,S0000966,wire,162235,JPY,bank_B,broker_Z
P0000015,S0004709,wire,73740,EUR,bank_A,broker_X
P0000016,S0000014,letter_of_credit,84088,EUR,bank_B,broker_X
P0000017,S0003705,wire,175226,JPY,bank_A,broker_Z
P0000018,S0003065,cashlike,158502,JPY,bank_C,broker_Z
P0000019,S0000204,cashlike,152651,EUR,bank_A,broker_X
P0000020,S0003180,wire,136519,USD,bank_A,broker_X
P0000021,S0002062,letter_of_credit,55122,USD,bank_B,broker_Y
P0000022,S0002990,wire,36433,JPY,bank_A,broker_Z
P0000023,S0004901,letter_of_credit,12281,JPY,bank_A,broker_Y
P0000024,S0001149,letter_of_credit,73944,USD,bank_C,broker_Y
P0000025,S0004045,cashlike,107467,USD,bank_A,broker_X
P0000026,S0001727,letter_of_credit,90326,JPY,bank_A,broker_Y
P0000027,S0004410,letter_of_credit,102993,JPY,bank_C,broker_Z
P0000028,S0003865,cashlike,157727,EUR,bank_B,broker_X
P0000029,S0003612,cashlike,28093,USD,bank_B,broker_X
P0000030,S0000484,wire,181366,JPY,bank_C,broker_X
P0000031,S0002326,cashlike,56271,JPY,bank_B,broker_X
P0000032,S0003227,cashlike,181053,JPY,bank_C,broker_Z
P0000033,S0002895,wire,197979,EUR,bank_A,broker_Y
P0000034,S0000813,wire,180906,JPY,bank_C,broker_X
P0000035,S0000949,cashlike,175215,USD,bank_A,broker_Y
P0000036,S0003971,wire,81675,EUR,bank_B,broker_X
P0000037,S0001223,letter_of_credit,105176,JPY,bank_A,broker_Z
P0000038,S0001502,wire,1957,USD,bank_B,broker_Y
P0000039,S0002405,wire,88025,EUR,bank_A,broker_Y
P0000040,S0004792,letter_of_credit,79037,EUR,bank_C,broker_X
P0000041,S0003939,wire,100877,USD,bank_A,broker_Z
P0000042,S0002262,wire,61335,USD,bank_C,broker_X
P0000043,S0004953,cashlike,24567,JPY,bank_C,broker_Y
P0000044,S0002362,wire,182499,USD,bank_A,broker_X
P0000045,S0000858,wire,172326,JPY,bank_B,broker_Z
P0000046,S0000989,cashlike,118453,JPY,bank_B,broker_X
P0000047,S0002683,letter_of_credit,30763,USD,bank_B,broker_Y
P0000048,S0001301,letter_of_credit,8457,USD,bank_B,broker_Z
P0000049,S0004766,letter_of_credit,84748,USD,bank_A,broker_X
P0000050,S0002897,cashlike,130772,EUR,bank_C,broker_Y
P0000051,S0004584,cashlike,76185,USD,bank_C,broker_Z
P0000052,S0002236,cashlike,139448,EUR,bank_A,broker_X
P0000053,S0000429,wire,190984,USD,bank_C,broker_X
P0000054,S0004192,letter_of_credit,8806,USD,bank_C,broker_Z
P0000055,S0002141,letter_of_credit,77901,EUR,bank_A,broker_Y
P0000056,S0003383,wire,50795,JPY,bank_C,broker_Y
P0000057,S0004185,cashlike,7384,USD,bank_A,broker_Y
P0000058,S0004409,letter_of_credit,188064,EUR,bank_C,broker_Y
P0000059,S0003486,cashlike,103007,USD,bank_B,broker_X
P0000060,S0002486,letter_of_credit,168082,EUR,bank_B,broker_X
P0000061,S0004350,wire,76379,JPY,bank_A,broker_X
P0000062,S0002844,wire,21165,EUR,bank_C,broker_X
P0000063,S0001284,letter_of_credit,5879,EUR,bank_B,broker_Z
P0000064,S0002114,wire,84422,USD,bank_B,broker_X
P0000065,S0000801,wire,178482,JPY,bank_C,broker_X
P0000066,S0002350,wire,66612,EUR,bank_B,broker_Z
P0000067,S0003871,cashlike,132425,EUR,bank_A,broker_Y
P0000068,S0002591,letter_of_credit,108360,JPY,bank_C,broker_Y
P0000069,S0003658,letter_of_credit,193444,EUR,bank_A,broker_X
P0000070,S0000031,wire,124979,USD,bank_B,broker_Y
P0000071,S0004646,cashlike,68610,EUR,bank_C,broker_Z
P0000072,S0003515,wire,68401,EUR,bank_B,broker_Z
P0000073,S0004504,letter_of_credit,145000,JPY,bank_B,broker_Z
P0000074,S0003717,letter_of_credit,156045,EUR,bank_C,broker_X
P0000075,S0004243,wire,76258,USD,bank_A,broker_Z
P0000076,S0000402,letter_of_credit,193792,EUR,bank_B,broker_X
P0000077,S0003660,wire,76398,JPY,bank_A,broker_Z
P0000078,S0001505,cashlike,121895,USD,bank_C,broker_Y
P0000079,S0000869,letter_of_credit,1358,EUR,bank_C,broker_Y
P0000080,S0003042,letter_of_credit,121524,EUR,bank_A,broker_Z
P0000081,S0003017,wire,138575,JPY,bank_B,broker_Z
P0000082,S0003221,cashlike,177981,USD,bank_A,broker_Y
P0000083,S0001821,letter_of_credit,36654,USD,bank_A,broker_Y
P0000084,S0001466,cashlike,85800,USD,bank_C,broker_Y
P0000085,S0003667,letter_of_credit,104619,EUR,bank_B,broker_Y
P0000086,S0003506,wire,84976,USD,bank_C,broker_Y
P0000087,S0000051,letter_of_credit,61366,JPY,bank_A,broker_Y
P0000088,S0002948,cashlike,127976,USD,bank_A,broker_X
P0000089,S0003261,letter_of_credit,185338,JPY,bank_A,broker_X
P0000090,S0002307,cashlike,139397,EUR,bank_C,broker_Y
P0000091,S0002174,letter_of_credit,48624,EUR,bank_B,broker_Z
P0000092,S0001081,wire,41909,JPY,bank_A,broker_X
P0000093,S0004760,wire,89500,EUR,bank_C,broker_X
P0000094,S0002305,wire,141014,USD,bank_A,broker_X
P0000095,S0002177,wire,142697,EUR,bank_C,broker_Y
P0000096,S0000867,wire,67785,USD,bank_C,broker_X
P0000097,S0004585,wire,159657,EUR,bank_B,broker_X
P0000098,S0003657,wire,127527,JPY,bank_C,broker_Z
P0000099,S0000468,wire,9967,USD,bank_C,broker_Z
P0000100,S0000701,cashlike,97610,JPY,bank_C,broker_Y
P0000101,S0002759,cashlike,75897,EUR,bank_C,broker_X
P0000102,S0003003,letter_of_credit,144345,EUR,bank_A,broker_X
P0000103,S0004159,wire,9696,USD,bank_B,broker_Y
P0000104,S0000105,wire,41515,JPY,bank_B,broker_Z
P0000105,S0001435,letter_of_credit,157641,EUR,bank_C,broker_Z
P0000106,S0003441,cashlike,25299,JPY,bank_A,broker_X
P0000107,S0002869,letter_of_credit,62869,USD,bank_A,broker_Y
P0000108,S0002586,cashlike,79632,EUR,bank_B,broker_Z
P0000109,S0001784,letter_of_credit,11884,JPY,bank_B,broker_X
P0000110,S0002811,cashlike,78148,EUR,bank_C,broker_Z
P0000111,S0002910,letter_of_credit,192152,USD,bank_B,broker_X
P0000112,S0003574,wire,17766,EUR,bank_A,broker_Z
P0000113,S0004026,cashlike,22688,USD,bank_C,broker_X
P0000114,S0004522,cashlike,189767,EUR,bank_C,broker_X
P0000115,S0001237,wire,195052,EUR,bank_C,broker_Z
P0000116,S0004519,cashlike,123092,JPY,bank_A,broker_Z
P0000117,S0003337,letter_of_credit,199766,USD,bank_C,broker_Y
P0000118,S0001344,wire,128255,JPY,bank_A,broker_Z
P0000119,S0003191,wire,76078,USD,bank_A,broker_X
P0000120,S0003788,letter_of_credit,55552,USD,bank_B,broker_Z
P0000121,S0004584,letter_of_credit,30590,USD,bank_C,broker_X
P0000122,S0004566,letter_of_credit,109752,USD,bank_A,broker_X
P0000123,S0001999,wire,30693,EUR,bank_A,broker_Y
P0000124,S0001147,cashlike,31315,JPY,bank_B,broker_Z
P0000125,S0003876,wire,61063,JPY,bank_C,broker_Z
P0000126,S0002195,letter_of_credit,153022,JPY,bank_C,broker_Z
P0000127,S0004822,cashlike,2601,EUR,bank_B,broker_Z
P0000128,S0000859,letter_of_credit,128657,USD,bank_A,broker_X
P0000129,S0000250,letter_of_credit,119830,EUR,bank_A,broker_X
P0000130,S0001993,letter_of_credit,120144,EUR,bank_A,broker_X
P0000131,S0004426,letter_of_credit,47815,USD,bank_C,broker_Z
P0000132,S0001977,wire,30960,USD,bank_B,broker_X
P0000133,S0004316,letter_of_credit,93890,USD,bank_B,broker_X
P0000134,S0002006,letter_of_credit,27890,USD,bank_A,broker_X
P0000135,S0002285,letter_of_credit,109255,EUR,bank_C,broker_Y
P0000136,S0003015,wire,155771,JPY,bank_A,broker_Z
P0000137,S0001944,cashlike,24261,JPY,bank_C,broker_Z
P0000138,S0001886,cashlike,19588,EUR,bank_B,broker_X
P0000139,S0002089,cashlike,61377,JPY,bank_C,broker_Y
P0000140,S0004729,letter_of_credit,121151,USD,bank_A,broker_Y
P0000141,S0000083,wire,63631,JPY,bank_B,broker_X
P0000142,S0002770,letter_of_credit,154393,JPY,bank_C,broker_Z
P0000143,S0001917,letter_of_credit,65005,JPY,bank_A,broker_Y
P0000144,S0001588,letter_of_credit,49732,JPY,bank_B,broker_Y
P0000145,S0001774,letter_of_credit,126739,USD,bank_C,broker_Z
P0000146,S0000020,cashlike,72310,USD,bank_A,broker_X
P0000147,S0003244,wire,29284,USD,bank_B,broker_Y
P0000148,S0004289,cashlike,51554,JPY,bank_C,broker_Z
P0000149,S0004482,wire,45889,EUR,bank_A,broker_Z
P0000150,S0004587,wire,198520,JPY,bank_A,broker_X
P0000151,S0004059,cashlike,129750,USD,bank_B,broker_Z
P0000152,S0000472,cashlike,162001,JPY,bank_A,broker_Y
P0000153,S0004203,cashlike,195438,USD,bank_B,broker_Y
P0000154,S0001852,letter_of_credit,83240,EUR,bank_A,broker_Z
P0000155,S0000328,letter_of_credit,95224,USD,bank_A,broker_Y
P0000156,S0003587,letter_of_credit,176952,USD,bank_B,broker_X
P0000157,S0000563,cashlike,63058,EUR,bank_A,broker_Z
P0000158,S0001067,cashlike,132628,USD,bank_A,broker_Y
P0000159,S0001181,cashlike,21266,JPY,bank_B,broker_Y
P0000160,S0003450,cashlike,31497,EUR,bank_A,broker_Z
P0000161,S0003721,cashlike,120622,JPY,bank_B,broker_Z
P0000162,S0001102,wire,27552,JPY,bank_A,broker_Z
P0000163,S0001060,cashlike,39130,EUR,bank_C,broker_Y
P0000164,S0002580,letter_of_credit,30430,EUR,bank_A,broker_X
P0000165,S0002663,cashlike,42169,JPY,bank_A,broker_Y
P0000166,S0003485,wire,25276,EUR,bank_B,broker_Z
P0000167,S0004366,wire,62250,JPY,bank_C,broker_Z
P0000168,S0003498,letter_of_credit,20427,JPY,bank_C,broker_Z
P0000169,S0004330,letter_of_credit,88494,JPY,bank_C,broker_Y
P0000170,S0004709,cashlike,94208,EUR,bank_C,broker_Z
P0000171,S0003131,wire,14866,JPY,bank_B,broker_X
P0000172,S0000810,letter_of_credit,121088,USD,bank_B,broker_Y
P0000173,S0003072,wire,182076,EUR,bank_B,broker_Z
P0000174,S0003231,wire,14875,JPY,bank_B,broker_X
P0000175,S0002145,letter_of_credit,14247,USD,bank_A,broker_X
P0000176,S0000332,wire,199376,JPY,bank_A,broker_Z
P0000177,S0003966,letter_of_credit,85636,USD,bank_C,broker_Y
P0000178,S0003194,letter_of_credit,92826,USD,bank_A,broker_X
P0000179,S0000844,letter_of_credit,154664,JPY,bank_C,broker_X
P0000180,S0001435,letter_of_credit,16272,JPY,bank_B,broker_Y
P0000181,S0004047,wire,176307,USD,bank_B,broker_Z
P0000182,S0003828,wire,65904,USD,bank_C,broker_Y
P0000183,S0004400,wire,77939,USD,bank_B,broker_X
P0000184,S0001649,wire,141844,JPY,bank_C,broker_Y
P0000185,S0003433,letter_of_credit,100810,USD,bank_C,broker_Y
P0000186,S0002866,cashlike,149076,JPY,bank_A,broker_X
