shipment_id,exporter_id,domain,incoterm,mode,qty,unit,invoice_id,description
S0000000,E001291,chemicals_precursors,DAP,road,224,pcs,INV678066,DESC chemicals_precursors 153
S0000001,E001126,machine_tools,FOB,air,64,L,INV393794,DESC machine_tools 153
S0000002,E000354,machine_tools,DAP,road,24,L,INV393522,DESC machine_tools 630
S0000003,E001808,chemicals_precursors,FOB,air,3,pcs,INV521948,DESC chemicals_precursors 373
S0000004,E001922,energy_equipment,CIF,air,299,L,INV359623,DESC energy_equipment 942
S0000005,E001388,luxury_dual_use_consumer,FOB,sea,105,kg,INV105238,DESC luxury_dual_use_consumer 374
S0000006,E001138,aerospace_uas_avionics,CIF,air,5,L,INV844279,DESC aerospace_uas_avionics 283
S0000007,E000471,chemicals_precursors,FOB,sea,228,kg,INV614316,DESC chemicals_precursors 300
S0000008,E000217,maritime_port_equipment,CIF,road,74,L,INV557919,DESC maritime_port_equipment 572
S0000009,E001371,energy_equipment,CIF,sea,32,pcs,INV140452,DESC energy_equipment 905
S0000010,E000127,aerospace_uas_avionics,CIF,air,474,L,INV429740,DESC aerospace_uas_avionics 485
S0000011,E001130,machine_tools,CIF,sea,372,L,INV476205,DESC machine_tools 244
S0000012,E001874,medical_bio_lab,DAP,road,199,L,INV770469,DESC medical_bio_lab 557
S0000013,E000828,chemicals_precursors,DAP,air,151,pcs,INV517705,DESC chemicals_precursors 568
S0000014,E001561,aerospace_uas_avionics,DAP,air,292,pcs,INV560511,DESC aerospace_uas_avionics 685
S0000015,E000404,chemicals_precursors,DAP,road,200,kg,INV177012,DESC chemicals_precursors 855
S0000016,E001582,chemicals_precursors,CIF,road,120,kg,INV628906,DESC chemicals_precursors 661
S0000017,E001406,luxury_dual_use_consumer,CIF,road,87,kg,INV199430,DESC luxury_dual_use_consumer 999
S0000018,E001826,maritime_port_equipment,FOB,air,305,kg,INV711055,DESC maritime_port_equipment 485
S0000019,E000785,luxury_dual_use_consumer,DAP,air,439,pcs,INV501459,DESC luxury_dual_use_consumer 107
S0000020,E001204,medical_bio_lab,DAP,air,357,kg,INV729620,DESC medical_bio_lab 175
S0000021,E000356,aerospace_uas_avionics,CIF,air,487,kg,INV988316,DESC aerospace_uas_avionics 592
S0000022,E000413,chemicals_precursors,CIF,road,249,L,INV403764,DESC chemicals_precursors 954
S0000023,E001501,medical_bio_lab,DAP,road,430,L,INV692062,DESC medical_bio_lab 246
S0000024,E001183,chemicals_precursors,CIF,road,291,pcs,INV806643,DESC chemicals_precursors 440
S0000025,E001450,luxury_dual_use_consumer,FOB,air,410,pcs,INV946003,DESC luxury_dual_use_consumer 733
S0000026,E000105,energy_equipment,DAP,air,466,kg,INV449142,DESC energy_equipment 594
S0000027,E000579,aerospace_uas_avionics,DAP,road,255,kg,INV225179,DESC aerospace_uas_avionics 789
S0000028,E001496,energy_equipment,DAP,sea,305,kg,INV385389,DESC energy_equipment 86
S0000029,E000734,medical_bio_lab,FOB,road,428,kg,INV488269,DESC medical_bio_lab 903
S0000030,E001671,aerospace_uas_avionics,DAP,air,8,L,INV831050,DESC aerospace_uas_avionics 595
S0000031,E001166,aerospace_uas_avionics,CIF,sea,275,L,INV609324,DESC aerospace_uas_avionics 310
S0000032,E001868,luxury_dual_use_consumer,DAP,air,72,L,INV508845,DESC luxury_dual_use_consumer 904
S0000033,E000163,chemicals_precursors,DAP,road,435,L,INV914854,DESC chemicals_precursors 809
S0000034,E000400,energy_equipment,DAP,air,94,pcs,INV780176,DESC energy_equipment 20
S0000035,E001967,maritime_port_equipment,CIF,road,78,L,INV169992,DESC maritime_port_equipment 37
S0000036,E000912,aerospace_uas_avionics,CIF,air,111,L,INV658608,DESC aerospace_uas_avionics 321
S0000037,E000906,energy_equipment,DAP,air,201,kg,INV528522,DESC energy_equipment 812
