entity_id,entity_name,country,shipment_count,total_value_usd,chokepoint_score
E0001,KESTREL ENERGY KK,TR,6,914337.06,0.0
E0002,LANTERN ENGINEERING LABORATORIES LTD,GB,8,1047774.15,0.0
E0003,SABLE MARITIME,KR,3,307530.49,0.0
E0004,TIDEMARK HOLDINGS LLC,PL,3,149287.1,0.0
E0005,TIDEMARK ENGINEERING LABORATORIES LTD,VN,5,867193.17,0.0
E0006,LANTERN LABORATORIES BV,JP,5,329738.26,0.0
E0007,MARINER MANUFACTURING WORKS LLC,BR,3,451282.35,0.0
E0008,KESTREL BIOSCIENCE LABORATORIES,TR,7,918147.99,0.0
E0009,LANTERN HOLDINGS LOGISTICS KK,JP,6,619025.66,0.0
E0010,PENDULUM MARITIME ENERGY,VN,3,387362.57,0.0
E0011,TIDEMARK ENGINEERING SYSTEMS GMBH,VN,6,698644.59,0.0
E0012,LANTERN ENGINEERING WORKS,US,6,374435.55,0.0
E0013,MARINER MANUFACTURING LABORATORIES S.A.,US,7,501168.85,0.0
E0014,MARINER SYSTEMS INDUSTRIES S.A.,BR,8,837079.72,0.0
E0015,MARINER MANUFACTURING SYSTEMS,BR,6,988881.52,0.0
E0016,SABLE HOLDINGS,KR,4,458604.36,0.0
E0017,KESTREL BIOSCIENCE LABORATORIES PTE,TR,3,294238.49,0.0
E0018,FATHOM ENERGY SYSTEMS,SG,10,760214.72,0.0
E0019,TIDEMARK ENGINEERING KK,VN,2,171898.44,0.0
E0020,JUNIPER LABORATORIES PRECISION PTE,DE,3,250787.01,0.0
E0021,AURELINE HOLDINGS S.A.,VN,9,920677.69,0.0
E0022,FATHOM ENERGY WORKS GMBH,IN,2,260752.9,0.0
E0023,NEBULA ENERGY BIOSCIENCE,GB,4,311572.33,0.0
E0024,FATHOM INDUSTRIES INSTRUMENTS,US,4,453684.19,0.0
E0025,JUNIPER ENERGY INDUSTRIES LTD,IN,10,866248.13,0.0
E0026,IRONLEAF ENERGY WORKS KK,US,3,366633.25,0.0
E0027,PENDULUM INSTRUMENTS WORKS,DE,6,637616.71,0.0
E0028,CANTICLE INDUSTRIES BV,MX,10,1104360.25,0.0
E0029,IRONLEAF ENERGY CHEMICALS KK,VN,2,399795.78,0.0
E0030,GOSSAMER CHEMICALS LABORATORIES S.A.,CA,9,833538.25,0.0
E0031,SABLE SYSTEMS HOLDINGS,US,4,417882.69,0.0
E0032,KESTREL PRECISION PRECISION,SG,6,622201.43,0.0
E0033,AURELINE MARITIME MARITIME PTE,FR,3,500267.94,0.0
E0035,DORIAN MANUFACTURING AEROSPACE PTE,SG,4,298178.22,0.0
E0036,QUARRY HOLDINGS MANUFACTURING LLC,FR,7,1016572.48,0.0
E0037,GOSSAMER CHEMICALS SYSTEMS LLC,PL,3,211108.57,0.0
E0038,MARINER MANUFACTURING LABORATORIES BV,VN,3,329352.61,0.0
E0039,MARINER MANUFACTURING LABORATORIES,VN,1,104540.67,0.0
E0040,TIDEMARK CHEMICALS MARITIME,FR,6,507174.92,0.0
