tender_id,buyer_id,awardee_id,domain,value
T000000,E001311,E000118,chemicals_precursors,1327944
T000001,E001293,E001330,luxury_dual_use_consumer,154283
T000002,E001733,E000916,machine_tools,3564202
T000003,E000241,E000036,luxury_dual_use_consumer,739652
T000004,E000716,E000316,intangibles,298056
T000005,E001335,E001079,procurement,3377610
T000006,E001451,E001601,chemicals_precursors,4472592
T000007,E001979,E001394,maritime_port_equipment,3860988
T000008,E001969,E000626,medical_bio_lab,4681383
T000009,E001147,E001703,finance_signals,1595815
T000010,E001338,E001196,machine_tools,1325082
T000011,E000067,E001909,machine_tools,3944043
T000012,E001032,E001691,services,4299905
T000013,E001605,E000481,energy_equipment,3659845
T000014,E000617,E001336,luxury_dual_use_consumer,2378653
T000015,E001366,E000032,medical_bio_lab,659354
T000016,E001768,E001785,maritime_port_equipment,3311486
T000017,E000291,E000245,intangibles,910278
T000018,E000574,E000935,chemicals_precursors,4364405
T000019,E001347,E001752,chemicals_precursors,603520
T000020,E001416,E000798,research_links,151508
T000021,E001303,E000987,chemicals_precursors,4955356
T000022,E000983,E001661,machine_tools,3182567
T000023,E001765,E001240,services,92405
T000024,E001904,E001852,medical_bio_lab,961294
T000025,E000082,E001483,procurement,92751
T000026,E000740,E001818,procurement,4655549
T000027,E001398,E000058,procurement,2510316
T000028,E000538,E001877,luxury_dual_use_consumer,1983003
T000029,E000216,E000375,medical_bio_lab,4021076
T000030,E000106,E001914,energy_equipment,550867
T000031,E001189,E000762,research_links,3036289
T000032,E000415,E000605,procurement,218583
T000033,E000419,E001853,maritime_port_equipment,1468650
T000034,E000248,E001804,energy_equipment,2979457
T000035,E001397,E001758,procurement,595720
T000036,E000969,E001095,aerospace_uas_avionics,4923868
T000037,E001443,E000158,energy_equipment,561238
T000038,E000779,E001424,machine_tools,2985771
T000039,E000325,E001112,chemicals_precursors,146672
T000040,E001762,E001973,research_links,3842739
T000041,E000997,E001977,medical_bio_lab,4293582
T000042,E000163,E001519,services,387322
T000043,E000661,E001081,energy_equipment,2726337
T000044,E000706,E001050,chemicals_precursors,856123
T000045,E001424,E001327,energy_equipment,4656794
T000046,E000524,E000855,procurement,163864
T000047,E000654,E001826,machine_tools,3088473
T000048,E001461,E001990,aerospace_uas_avionics,2773745
T000049,E000452,E000031,services,2737085
T000050,E000514,E000789,energy_equipment,2674875
T000051,E000971,E001498,machine_tools,3066479
T000052,E000186,E000842,machine_tools,683475
T000053,E001840,E001623,chemicals_precursors,1448873
T000054,E001997,E001719,medical_bio_lab,2754323
T000055,E000318,E000655,research_links,1048959
T000056,E001733,E001809,procurement,910433
T000057,E001243,E000165,intangibles,2896308
T000058,E000826,E001385,energy_equipment,4209470
T000059,E000788,E001972,luxury_dual_use_consumer,4179189
T000060,E001155,E000389,aerospace_uas_avionics,2723612
T000061,E000707,E000612,procurement,2823689
T000062,E000992,E000298,procurement,1611426
T000063,E000741,E000247,intangibles,3195354
T000064,E000673,E001740,intangibles,4167719
T000065,E000135,E001596,maritime_port_equipment,1399481
T000066,E000587,E001089,luxury_dual_use_consumer,2736649
T000067,E001472,E000303,maritime_port_equipment,2387098
T000068,E000652,E001845,maritime_port_equipment,233993
T000069,E000356,E001171,services,3983155
T000070,E000465,E000666,research_links,2262764
T000071,E000438,E000580,research_links,309508
T000072,E000980,E001474,energy_equipment,793275
T000073,E001537,E001496,medical_bio_lab,2250446
T000074,E000778,E000492,chemicals_precursors,3256624
T000075,E000363,E000166,finance_signals,1062221
T000076,E001680,E000640,research_links,3637368
T000077,E000224,E001980,services,1859700
T000078,E000436,E001577,services,537484
T000079,E000640,E000998,energy_equipment,2034448
T000080,E000302,E001924,research_links,2139629
T000081,E000045,E001090,services,468079
T000082,E001853,E001996,energy_equipment,3384309
T000083,E000816,E001736,aerospace_uas_avionics,4964982
T000084,E001769,E000170,procurement,275236
T000085,E001335,E001053,luxury_dual_use_consumer,1681367
T000086,E000466,E000796,machine_tools,2584616
T000087,E000047,E000597,machine_tools,4598156
T000088,E001093,E000178,luxury_dual_use_consumer,1158933
T000089,E001899,E001273,procurement,1766654
T000090,E001913,E001891,luxury_dual_use_consumer,926729
T000091,E000813,E000650,chemicals_precursors,1081266
T000092,E001639,E001810,chemicals_precursors,2113092
T000093,E000286,E001170,intangibles,1105153
T000094,E000738,E000043,services,2035564
T000095,E000848,E000860,chemicals_precursors,642442
T000096,E001525,E001374,procurement,88994
T000097,E000874,E001314,maritime_port_equipment,4140562
T000098,E001528,E000799,research_links,1577885
T000099,E000924,E001334,maritime_port_equipment,3514522
T000100,E001645,E001207,energy_equipment,4227487
T000101,E000370,E001513,aerospace_uas_avionics,124419
T000102,E000569,E001717,services,2201364
T000103,E001735,E001207,machine_tools,3838634
T000104,E001672,E001758,research_links,2591770
T000105,E001328,E001866,intangibles,2916608
T000106,E000915,E000805,research_links,1098388
T000107,E001374,E001247,intangibles,3385347
T000108,E001219,E000771,research_links,3226535
T000109,E001319,E001851,services,2834173
T000110,E001249,E001212,machine_tools,1648570
T000111,E001147,E001849,intangibles,4687035
T000112,E000646,E001847,services,3878339
T000113,E000621,E001541,services,2164996
T000114,E001934,E001702,finance_signals,4604815
T000115,E000808,E001047,luxury_dual_use_consumer,2081871
T000116,E001875,E001316,chemicals_precursors,2483616
T000117,E000169,E000154,medical_bio_lab,2414122
T000118,E001083,E001513,energy_equipment,1787295
T000119,E001831,E000304,services,3325919
T000120,E000374,E000181,procurement,1267980
T000121,E000660,E001845,aerospace_uas_avionics,4111511
T000122,E001007,E001565,machine_tools,2088191
T000123,E001395,E000898,intangibles,3843474
T000124,E001272,E001485,machine_tools,2138299
T000125,E000069,E001640,luxury_dual_use_consumer,3627196
T000126,E000377,E000940,procurement,1623182
T000127,E001324,E001693,research_links,447331
T000128,E000130,E001512,procurement,4275132
T000129,E001324,E000109,services,35861
T000130,E000598,E000284,chemicals_precursors,4123409
T000131,E001016,E001081,chemicals_precursors,3433230
T000132,E001181,E001779,machine_tools,3519752
T000133,E001438,E001971,luxury_dual_use_consumer,3013282
T000134,E000599,E001109,machine_tools,703069
T000135,E001259,E001446,aerospace_uas_avionics,1303407
T000136,E000424,E000966,procurement,4142399
T000137,E000754,E001730,procurement,147972
T000138,E000520,E001005,maritime_port_equipment,3594752
T000139,E001034,E000240,procurement,3919196
