svc_id,entity_id,kind,hours,notes
SV000000,E001120,maintenance,149,notes
SV000001,E000998,maintenance,131,notes
SV000002,E001855,engineering,43,notes
SV000003,E000261,engineering,51,notes
SV000004,E001580,contract_mfg,170,notes
SV000005,E001382,contract_mfg,124,notes
SV000006,E000624,contract_mfg,88,notes
SV000007,E001185,maintenance,195,notes
SV000008,E001973,contract_mfg,76,notes
SV000009,E000082,contract_mfg,56,notes
SV000010,E000056,engineering,57,notes
SV000011,E001591,engineering,63,notes
SV000012,E001412,engineering,124,notes
SV000013,E000725,contract_mfg,74,notes
SV000014,E001493,maintenance,98,notes
SV000015,E000566,contract_mfg,182,notes
SV000016,E001849,contract_mfg,177,notes
SV000017,E000968,contract_mfg,150,notes
SV000018,E001419,engineering,41,notes
SV000019,E000959,maintenance,28,notes
SV000020,E000599,contract_mfg,136,notes
SV000021,E001408,engineering,65,notes
SV000022,E001415,contract_mfg,148,notes
SV000023,E001131,maintenance,27,notes
SV000024,E000780,engineering,191,notes
SV000025,E001012,engineering,34,notes
SV000026,E001189,maintenance,116,notes
SV000027,E000631,contract_mfg,118,notes
SV000028,E000613,contract_mfg,73,notes
SV000029,E001280,contract_mfg,167,notes
SV000030,E001511,engineering,34,notes
SV000031,E001580,engineering,39,notes
SV000032,E000586,maintenance,19,notes
SV000033,E000189,engineering,76,notes
SV000034,E000914,contract_mfg,51,notes
SV000035,E000935,engineering,38,notes
SV000036,E001519,maintenance,99,notes
SV000037,E001614,maintenance,121,notes
SV000038,E000921,maintenance,163,notes
SV000039,E000123,engineering,56,notes
SV000040,E001275,maintenance,9,notes
SV000041,E001053,engineering,44,notes
SV000042,E000546,maintenance,44,notes
SV000043,E000370,engineering,71,notes
SV000044,E000621,contract_mfg,32,notes
SV000045,E001614,maintenance,157,notes
SV000046,E000477,maintenance,174,notes
SV000047,E001971,engineering,8,notes
SV000048,E001632,maintenance,88,notes
SV000049,E000628,contract_mfg,36,notes
SV000050,E000460,maintenance,17,notes
SV000051,E001358,maintenance,146,notes
SV000052,E001862,engineering,119,notes
SV000053,E001313,maintenance,80,notes
SV000054,E001010,maintenance,125,notes
SV000055,E001739,contract_mfg,132,notes
SV000056,E001299,engineering,23,notes
SV000057,E001036,maintenance,98,notes
